	1,	1-4,	5-9,	10-14,	15-19,	20-24,	25-29,	30-34,	35-39,	40-44,	45-49,	50-54,	55-59,	60-64,	65-69,	70-74,	75-79,	80-84,	85,
1991,	253681.740691238,	17110.9921984591,	9841.35770630818,	11231.9395530018,	22287.9551772383,	32347.6792132894,	29256.1545694767,	35191.689279078,	42189.517293449,	62319.3686583991,	96718.4063269417,	173783.846052644,	269438.482433826,	455147.896849276,	673158.502337642,	1112318.2570441,	1578385.90737697,	2481625.99553998,	
1992,	264352.542678055,	15676.1115786012,	8889.35639524455,	9491.39288845302,	23350.0363716291,	32620.3708202046,	31833.2924376702,	36718.3904879591,	46556.4381219479,	63729.862227083,	102277.26046174,	165716.260137194,	270190.294853876,	450316.30608762,	723608.095909946,	1154017.38920624,	1512720.7917433,	2472972.3299089,	
1993,	255985.456734288,	17137.2137161527,	8800.5992161168,	10140.7552891219,	24242.6909326202,	33366.7615125337,	31783.0652927126,	36942.4970575702,	43201.9333175552,	61104.9466113436,	99697.7811884099,	165981.422516532,	290480.732239401,	452336.160150039,	714529.871863708,	1176585.9948292,	1552844.30529551,	2663243.28808729,	
1994,	238559.571278777,	16815.2454451293,	8584.56288608035,	10215.9444969271,	26568.6717133806,	35946.0959043852,	35527.1191580885,	38610.4624004012,	45727.9787383766,	67360.1722744789,	101124.263491984,	179583.241215082,	283873.835090031,	457568.041829577,	701346.37708178,	1197146.67973589,	1568077.27389057,	2948983.66048138,	
1995,	233515.824852888,	16751.471600824,	8642.78543742863,	10250.2222658259,	31505.4122175353,	39388.8103831368,	37401.5736747284,	41938.4132307173,	52386.745994345,	72861.9018280254,	112521.663724832,	181890.295499765,	307576.759812814,	463278.114647029,	733579.2909982,	1282013.76966198,	1772432.8228005,	3029678.05119011,	
1996,	211877.141122547,	15452.1448304088,	8255.53743657608,	10951.3797667239,	30693.01312634,	42311.9595063185,	40978.0626131021,	46153.0814348861,	57643.1387572956,	70633.5030502185,	111844.551	183510.081231896,	297973.163204829,	488930.007521367,	749378.428832002,	1231282.54025911,	1859851.59574468,	3065290.87758565,	
1997,	226438.886094295,	15965.1378174365,	9005.87242620897,	11344.627906939,	31377.803408372,	41279.5284015798,	44382.2667594596,	50530.4242693996,	60154.0607121171,	75272.3592391499,	112018.987332115,	186158.910448681,	295659.687661851,	504346.766626805,	774000.193449403,	1221335.95786739,	1824994.38798555,	2865272.71088171,	
1998,	240078.864224292,	19377.9537775447,	11604.3393945045,	13001.6061156802,	33160.3416501716,	43566.5816861074,	45656.1691404228,	53853.3271896868,	67584.0365520523,	87552.9845881071,	116875.179015603,	196084.063152133,	313066.867648041,	532067.209292556,	809279.983058425,	1261900.53628664,	2079317.2174917,	3106039.3053958,	
1999,	214593.804040515,	19066.9057069741,	12468.8644933098,	13593.1399592599,	31801.8020040108,	40767.7231585457,	44532.188259473,	52783.4461355318,	68035.9663530634,	89923.1683569304,	125991.430791262,	206704.64299739,	329661.813529477,	585697.265459476,	816767.566287338,	1299828.42090215,	2270444.62805997,	3682410.80836971,	
2000,	158454.411764706,	14120.4822523069,	8640.03290620705,	10959.5223440858,	29434.1526832394,	37513.6761123853,	42690.8771803038,	50782.5014595532,	65024.8764393841,	88592.7334851631,	116946.488301289,	201336.077693716,	310158.256380575,	559565.200501399,	814598.531549389,	1244147.37017707,	2106054.18142732,	3269828.35257729,	
2001,	145689.80380012,	16376.263202046,	8755.96101327809,	9650.38162439637,	28499.2500780565,	38055.0452282123,	40950.5339125389,	51334.3176677557,	66040.9359154077,	88738.0868378963,	118238.393344202,	196196.048005869,	308587.451365405,	519276.305819027,	798251.059086432,	1207360.23700458,	1916031.50072809,	3328679.76363259,	
2002,	164868.374718968,	12885.3199914964,	8133.56612973419,	9445.43732040162,	27745.4065624606,	37335.4544653666,	40844.7920446756,	51370.4791185778,	63878.3756386573,	86332.3839794297,	117894.573437944,	187877.968673007,	310760.966689942,	506492.24214973,	834444.25273649,	1243265.3823289,	1932696.8065477,	3328964.345085,	
2003,	181782.272606356,	12472.7322203844,	7731.31970122319,	10884.1396326309,	32924.8045547792,	40238.8552904458,	43695.8593026048,	52244.2849464466,	65040.977542815,	91289.7445035364,	124495.640610546,	189435.010839722,	327523.06720437,	505362.481686402,	891220.012826866,	1256865.59822737,	1915413.28184766,	3641305.57476165,	
2004,	188798.067520758,	12559.2839468533,	8169.4867951508,	10570.7700511993,	30117.9092500902,	38707.5391042372,	41846.0914322026,	53377.9008618923,	63839.7316136114,	91359.2083046333,	135793.308991482,	192318.112689865,	327122.860763304,	508753.455284553,	885344.521545686,	1221025.16632111,	1853239.1395581,	3724477.18738552,	
2005,	185460.584832958,	12920.3739811631,	8174.41164916792,	9537.78065614554,	28323.0065160916,	37791.7269827769,	42588.5102190214,	54707.7974875666,	66220.1524619279,	91986.63195813,	130813.25227772,	189234.204843462,	320801.614074435,	499185.777741219,	861154.996502515,	1218293.98157488,	1843165.51005871,	3634317.97988388,	
2006,	183453.605195742,	12006.1922603605,	6918.83004983144,	10075.9803612103,	26972.3303886532,	38274.7236905334,	44119.7525605258,	55137.2771474878,	66127.5582085565,	89457.3832277172,	132381.419400142,	192414.414023786,	313643.746277869,	486952.971231509,	837427.06818821,	1276149.71234208,	1907029.57031574,	3501001.73928537,	
2007,	180298.997189814,	12964.8905123115,	7674.63621688134,	9272.96655142895,	26802.9186115461,	37909.1903714531,	39657.5305873037,	55577.9096444283,	68603.8430861328,	90454.9163687363,	136312.315482712,	203327.312612351,	304315.875922806,	515889.19471491,	832596.716577409,	1345193.37140717,	1916623.10437467,	3385864.88209374,	
2008,	194627.13667972,	13446.3930145174,	7286.05121825143,	9481.87652335888,	28200.0907109982,	37893.3482708216,	42918.1465372316,	56925.4373344341,	72482.7602564103,	94759.390498144,	138613.689362644,	212844.373747734,	326774.591330362,	524331.621224994,	854476.483331187,	1461607.1908925,	1906091.66811619,	3476921.07188954,	
2009,	212199.161125199,	12831.4246015546,	8267.75992660037,	10308.8847308367,	30249.4917341191,	39295.4151306337,	42262.9012299795,	58107.0296687759,	75936.2985293649,	94411.6807625125,	149873.812473156,	225756.56843233,	330586.957823238,	555970.866160318,	816261.753906775,	1496863.40173557,	1875933.92423597,	3561445.22634531,	
2010,	208696.78,	11435.44,	8576.58,	11435.44,	31447.46,	34306.32,	34306.32,	51459.48,	71471.5,	97201.24,	145801.86,	225849.94,	343063.2,	526030.24,	826210.54,	1309357.88,	1932589.36,	2615856.9,	3673635.1,
2011,	209246.4,	11624.8,	8718.6,	11624.8,	29062,	31968.2,	31968.2,	49405.4,	69748.8,	95904.6,	142403.8,	229589.8,	354556.4,	528928.4,	842798,	1316508.6,	2016902.8,	2766702.4,	3653093.4,
2012,	194816.82,	11807.08,	5903.54,	11807.08,	32469.47,	32469.47,	32469.47,	47228.32,	67890.71,	97408.41,	144636.73,	233189.83,	351260.63,	528366.83,	826495.6,	1313537.65,	1977685.9,	2798277.96,	3305982.4,
